log_adj,smiles,group
0.650779909,Brc1ccc(NC=2n3ncnc3N=C(C=2)C)cc1C(F)(F)F,training
1.254781002,S(=O)(=O)(NN1C[C@@H](N(CCc2ccc(OCC)cc2)C1=O)c1ccc(OC)cc1)C,training
1.009634586,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C1=C(O)C(=NN(CCC(C)C)C1=O)c1ccn(c1)C)C,training
1.570730878,CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C,training
1.129897082,o1c(ccc1-c1ccc(cc1)C(NOCC)=N)-c1ccc(cc1)C(NOCC)=N,training
1.826232013,s1c(-c2ccc(F)cc2)c(nc1C)C(=O)N1[C@@H](CCC[C@@H]1C)CNc1oc2c(n1)cccc2,training
1.053874485,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N(C2C(CCCCC2)C=1O)CCC(C)(C)C)C,training
0.539612613,Fc1ccc(-n2c(C)c(nc2C)C(=O)Nc2nc(F)ccc2)cc1,training
0.687644663,O(C)c1ccc(cc1)C(N)C=1NC(=O)c2cc(ccc2N=1)-c1cn[nH]c1,training
0.500307519,Brc1cc(F)c(NC2=C(C)C(=O)N(C=C2C(=O)NOCCO)C)cc1,training
2.018751545,o1nc(nc1[C@@H](NC(=O)N1c2c(N(CCN3CCOCC3)C1=O)cccc2)C(C)(C)C)C,training
0.83798315,P(OCOC(=O)C(C)(C)C)(OCOC(=O)C(C)(C)C)(=O)COCCn1c2ncnc(N)c2nc1,training
1.210435019,Clc1cc(ccc1Cl)[C@@]12[C@@H](CCC1)CNC2,training
0.821091426,s1c2c(cc1C(=O)NCc1ccc(S(=O)(=O)c3cc(ccc3)C(F)(F)F)cc1)ccnc2,training
1.078745518,Brc1c2nc(cc(O[C@@H]3C[C@H](N(C3)C(=O)[C@H](C(C)(C)C)CC(=O)NC3CCCC3)C(=O)N[C@@]3(C[C@H]3C=C)C(O)=O)c2ccc1OC)-c1nc(sc1)NC(C)C,training
2.581640755,S(CC(=O)c1cc2CCN(S(=O)(=O)CC)c2cc1)c1cc2OCCCOc2cc1,training
1.666018347,O1c2c(cccc2-c2cc(OCCOC)c(NC(=O)CN3CCOCC3)cc2)C(=O)C=C1N1CCOCC1,training
0.636638148,Clc1cc2nccc(-n3c4c(cc(OC)cc4)c(CC(O)=O)c3C)c2cc1,training
1.345180684,S(CCN(C)C)c1nc(nc2c1cc(cc2)-c1cn[nH]c1)C1Cc2cc(OC)ccc2OC1,training
0.73499276,s1c2N(CC(C)C)C(=O)N(C)C(=O)c2c(C(=O)N2C[C@H](O)CC2)c1Cc1c2cc(F)ccc2ncc1,training
1.991064745,CCOP(=S)(OCC)SCSC(C)(C)C,training
1.979099848,O(CCN1CCN(CC1)C)c1ccc(cc1)C(=O)N1CC(c2c([nH]c3c2cccc3)C(=C1)C(OC(C)C)=O)(C)C,training
1.562665633,O=C(N[C@@H](C1CCCCC1)c1nnn(c1)C1(CC1)C#N)c1ccc(cc1)C,training
1.55387075,CCCCCCCCCCCCN(C)C,training
1.757085041,O=C(N[C@@H](CC(=O)N)C(=O)N[C@H]([C@H](O)CN1C[C@@H]2[C@H](C[C@H]1C(=O)NC(C)(C)C)CCCC2)Cc1ccccc1)c1nc2c(cc1)cccc2,training
1.595229797,OC1=C(Cl)C=C(Cl)C(Cl)=C1,training
0.900899871,S(Cc1ccccc1C#N)c1nc(O)cc(O)n1,training
2.230606591,O1CCN(CC1)CCN1c2c(N(C(=O)NC3CCOc4c3cccc4)C1=O)cccc2,training
1.869077309,s1cccc1C1=NN(CCC(C)C)C(=O)C(=C1O)C=1Nc2c(S(=O)(=O)N=1)cc(N1CCCC1=O)cc2,training
0.280919788,O1[C@H](CN(C\C=C/CN)C)[C@@H](O)[C@@H](O)[C@@H]1n1c2nc(nc(N)c2nc1)C,training
